Insight_Category,Year,Total_Tracts,Avg_Rent_Per_Unit,Min_Rent,Max_Rent,Avg_Rent_Per_SqFt,Avg_YoY_Change_Percent
1. MARKET OVERVIEW BY YEAR,2024,180,1642,0,3367,2.481000006861157,1.3652173913043482
1. MARKET OVERVIEW BY YEAR,2023,180,1620,0,3479,2.4491111093097264,0.9683229813664593
1. MARKET OVERVIEW BY YEAR,2022,180,1605,0,3397,2.425833328564962,1.687375
1. MARKET OVERVIEW BY YEAR,2021,180,1570,0,3633,2.3772222187783982,6.551812500000002
1. MARKET OVERVIEW BY YEAR,2020,180,1468,0,3357,2.2253888878557415,-2.879437499999999
1. MARKET OVERVIEW BY YEAR,2019,180,1525,0,3649,2.3072222265932294,3.2405660377358467
1. MARKET OVERVIEW BY YEAR,2018,180,1464,0,3460,2.21761111219724,1.3749685534591196
1. MARKET OVERVIEW BY YEAR,2017,180,1437,0,3580,2.7205555657545726,2.332327044025158
1. MARKET OVERVIEW BY YEAR,2016,180,1407,0,3683,2.663888903458913,3.752830188679247
1. MARKET OVERVIEW BY YEAR,2015,180,1359,0,3631,2.575555553701189,4.715031446540881
1. MARKET OVERVIEW BY YEAR,2014,180,1300,0,3481,2.469222238328722,2.508050314465409
1. MARKET OVERVIEW BY YEAR,2013,180,1271,0,3422,2.4202777670489417,3.113481012658225
1. MARKET OVERVIEW BY YEAR,2012,180,1224,0,3375,2.343499994940228,2.133797468354432
1. MARKET OVERVIEW BY YEAR,2011,180,1199,0,3302,2.2936111205153997,1.7877848101265814
1. MARKET OVERVIEW BY YEAR,2010,180,1177,0,3229,2.261388894584444,3.2869620253164573
1. MARKET OVERVIEW BY YEAR,2009,180,1132,0,3060,2.736777791712019,51.46582278481004
1. MARKET OVERVIEW BY YEAR,2008,180,1221,0,3360,2.3345000008742014,2.2262658227848093
1. MARKET OVERVIEW BY YEAR,2007,180,1195,0,3308,2.2940000037352246,4.740316455696204
1. MARKET OVERVIEW BY YEAR,2006,180,1119,0,3092,3.773944463994768,6.088269230769233
1. MARKET OVERVIEW BY YEAR,2005,180,1040,0,2881,3.5459999958674113,1.955483870967743
1. MARKET OVERVIEW BY YEAR,2004,180,994,0,2820,4.496833372116089,1.0285714285714291
1. MARKET OVERVIEW BY YEAR,2003,180,977,0,2778,4.472500006357829,-1.2910389610389603
1. MARKET OVERVIEW BY YEAR,2002,180,990,0,2822,4.519722237189611,125.03549019607838
1. MARKET OVERVIEW BY YEAR,2001,180,1010,0,2895,3.511444467306137,
