Insight_Category,Community_Reporting_Area_Name,Tract_Name,Year,Current_Rent,Dollar_Change,Percent_Change,Year_over_Year_Change_in_Rent_Category
4. FASTEST GROWING MARKETS,South Beacon Hill/NewHolly,Census Tract 110.01,2024,2317,326,16.38,Rapid Growth
4. FASTEST GROWING MARKETS,Central Area/Squire Park,Census Tract 88,2024,1838,205,12.6,Rapid Growth
4. FASTEST GROWING MARKETS,Ravenna/Bryant,Census Tract 43.01,2024,2661,279,11.94,Rapid Growth
4. FASTEST GROWING MARKETS,Olympic Hills/Victory Heights,Census Tract 2.02,2024,1730,148,9.6,Significant Increase
4. FASTEST GROWING MARKETS,Olympic Hills/Victory Heights,Census Tract 2.01,2024,1777,120,7.39,Significant Increase
4. FASTEST GROWING MARKETS,High Point,Census Tract 107.02,2024,2086,141,7.25,Significant Increase
4. FASTEST GROWING MARKETS,Cascade/Eastlake,Census Tract 73.01,2024,2451,153,6.75,Significant Increase
4. FASTEST GROWING MARKETS,Cedar Park/Meadowbrook,Census Tract 10,2024,1703,110,6.7,Significant Increase
4. FASTEST GROWING MARKETS,Olympic Hills/Victory Heights,Census Tract 7,2024,1605,88,6.51,Significant Increase
4. FASTEST GROWING MARKETS,Ravenna/Bryant,Census Tract 42.02,2024,2214,135,6.25,Significant Increase
